date	subject	eventType	object
1963-08-22	X-15 No.3	SUPPORTS	X-15_Flight_91
1963-08-22	Joseph_A._Walker	JOINS	X-15_Flight_91
1963-08-22	X-15_Flight_91	DEPARTS	Earth
1963-08-22	X-15_Flight_91	ARRIVES	Sub_Orbital
1963-08-22	X-15_Flight_91	DEPARTS	Sub_Orbital
1963-08-22	X-15_Flight_91	ARRIVES	Earth
1964-04-08	Gemini SC1	SUPPORTS	Gemini_1
1964-04-08	Gemini_1	DEPARTS	Earth
1964-04-08	Gemini_1	ARRIVES	LEO
1964-04-12	Gemini_1	DEPARTS	LEO
1964-04-12	Gemini_1	ARRIVES	Sub_Orbital
1964-04-12	Gemini_1	ENDS	
1964-10-06	Vostok-3KV-2	SUPPORTS	Kosmos_47
1964-10-06	Kosmos_47	DEPARTS	Earth
1964-10-06	Kosmos_47	ARRIVES	LEO
1964-10-07	Kosmos_47	DEPARTS	LEO
1964-10-07	Kosmos_47	ARRIVES	Earth
1964-10-12	Voskhod_1_Spacecraft	SUPPORTS	Voskhod_1
1964-10-12	Vladimir_Komarov	JOINS	Voskhod_1
1964-10-12	Konstantin_Feoktistov	JOINS	Voskhod_1
1964-10-12	Boris_Yegorov	JOINS	Voskhod_1
1964-10-12	Voskhod_1	DEPARTS	Earth
1964-10-12	Voskhod_1	ARRIVES	LEO
1964-10-13	Voskhod_1	DEPARTS	LEO
1964-10-13	Voskhod_1	ARRIVES	Earth
1965-01-19	Gemini SC2	SUPPORTS	Gemini_2
1965-01-19	Gemini_2	DEPARTS	Earth
1965-01-19	Gemini_2	ARRIVES	Sub_Orbital
1965-01-19	Gemini_2	DEPARTS	Sub_Orbital
1965-01-19	Gemini_2	ARRIVES	Earth
1965-02-22	Vostok-3KV-3	SUPPORTS	Kosmos_57
1965-02-22	Kosmos_57	DEPARTS	Earth
1965-02-22	Kosmos_57	ARRIVES	LEO
1965-02-22	Kosmos_57	ENDS	
1965-03-18	Voskhod_2_Spacecraft	SUPPORTS	Voskhod_2
1965-03-18	Pavel_Belyayev	JOINS	Voskhod_2
1965-03-18	Alexei_Leonov	JOINS	Voskhod_2
1965-03-18	Voskhod_2	DEPARTS	Earth
1965-03-18	Voskhod_2	ARRIVES	LEO
1965-03-19	Voskhod_2	DEPARTS	LEO
1965-03-19	Voskhod_2	ARRIVES	Earth
1965-06-03	Gemini_4_Spacecraft	SUPPORTS	Gemini_4
1965-06-03	James_McDivitt	JOINS	Gemini_4
1965-06-03	Ed_White_(astronaut)	JOINS	Gemini_4
1965-06-03	Gemini_4	DEPARTS	Earth
1965-06-03	Gemini_4	ARRIVES	LEO
1965-06-07	Gemini_4	DEPARTS	LEO
1965-06-07	Gemini_4	ARRIVES	Earth
1965-08-21	Gemini_5_Spacecraft	SUPPORTS	Gemini_5
1965-08-21	Pete_Conrad	JOINS	Gemini_5
1965-08-21	Gordon_Cooper	JOINS	Gemini_5
1965-08-21	Gemini_5	DEPARTS	Earth
1965-08-21	Gemini_5	ARRIVES	LEO
1965-08-29	Gemini_5	DEPARTS	LEO
1965-08-29	Gemini_5	ARRIVES	Earth
1965-12-04	Gemini_7_Spacecraft	SUPPORTS	Gemini_7
1965-12-04	Jim_Lovell	JOINS	Gemini_7
1965-12-04	Frank_Borman	JOINS	Gemini_7
1965-12-04	Gemini_7	DEPARTS	Earth
1965-12-04	Gemini_7	ARRIVES	LEO
1965-12-15	Gemini_6A_Spacecraft	SUPPORTS	Gemini_6A
1965-12-15	Wally_Schirra	JOINS	Gemini_6A
1965-12-15	Thomas_P._Stafford	JOINS	Gemini_6A
1965-12-15	Gemini_6A	DEPARTS	Earth
1965-12-15	Gemini_6A	ARRIVES	LEO
1965-12-16	Gemini_6A	DEPARTS	LEO
1965-12-16	Gemini_6A	ARRIVES	Earth
1965-12-18	Gemini_7	DEPARTS	LEO
1965-12-18	Gemini_7	ARRIVES	Earth
1966-02-22	Vostok-3KV-5	SUPPORTS	Kosmos_110
1966-02-22	Veterok_and_Ugolyok	JOINS	Kosmos_110
1966-02-22	Kosmos_110	DEPARTS	Earth
1966-02-22	Kosmos_110	ARRIVES	LEO
1966-02-26	Apollo_CSM-009	SUPPORTS	AS-201
