date	subject	eventType	object
1965-12-15T00:00:00.000	Gemini_6A_Spacecraft	SUPPORTS	Gemini_6A
1965-12-15T00:00:00.000	Wally_Schirra	JOINS	Gemini_6A
1965-12-15T00:00:00.000	Thomas_P._Stafford	JOINS	Gemini_6A
1965-12-15T00:00:00.000	Gemini_6A	DEPARTS	Earth
1965-12-15T00:00:00.000	Gemini_6A	ARRIVES	LEO
1965-12-16T00:00:00.000	Gemini_6A	DEPARTS	LEO
1965-12-16T00:00:00.000	Gemini_6A	ARRIVES	Earth
1965-12-18T00:00:00.000	Gemini_7	DEPARTS	LEO
1965-12-18T00:00:00.000	Gemini_7	ARRIVES	Earth
1966-02-22T00:00:00.000	Vostok-3KV-5	SUPPORTS	Kosmos_110
1966-02-22T00:00:00.000	Veterok_and_Ugolyok	JOINS	Kosmos_110
1966-02-22T00:00:00.000	Kosmos_110	DEPARTS	Earth
1966-02-22T00:00:00.000	Kosmos_110	ARRIVES	LEO
1966-02-26T00:00:00.000	Apollo_CSM-009	SUPPORTS	AS-201
1966-02-26T00:00:00.000	AS-201	DEPARTS	Earth
1966-02-26T00:00:00.000	AS-201	ARRIVES	Sub_Orbital
1966-02-26T00:00:00.000	AS-201	DEPARTS	Sub_Orbital
1966-02-26T00:00:00.000	AS-201	ARRIVES	Earth
1966-03-16T00:00:00.000	Kosmos_110	DEPARTS	LEO
1966-03-16T00:00:00.000	Kosmos_110	ARRIVES	Earth
1966-03-16T00:00:00.000	Gemini_8_Spacecraft	SUPPORTS	Gemini_8
1966-03-16T00:00:00.000	Neil_Armstrong	JOINS	Gemini_8
1966-03-16T00:00:00.000	David_Scott	JOINS	Gemini_8
1966-03-16T00:00:00.000	Gemini_8	DEPARTS	Earth
1966-03-16T00:00:00.000	Gemini_8	ARRIVES	LEO
1966-03-17T00:00:00.000	Gemini_8	DEPARTS	LEO
1966-03-17T00:00:00.000	Gemini_8	ARRIVES	Earth
1966-06-03T00:00:00.000	Gemini_9A_Spacecraft	SUPPORTS	Gemini_9A
1966-06-03T00:00:00.000	Thomas_P._Stafford	JOINS	Gemini_9A
1966-06-03T00:00:00.000	Eugene_Cernan	JOINS	Gemini_9A
1966-06-03T00:00:00.000	Gemini_9A	DEPARTS	Earth
1966-06-03T00:00:00.000	Gemini_9A	ARRIVES	LEO
1966-06-06T00:00:00.000	Gemini_9A	DEPARTS	LEO
1966-06-06T00:00:00.000	Gemini_9A	ARRIVES	Earth
1966-07-18T00:00:00.000	Gemini_10_Spacecraft	SUPPORTS	Gemini_10
1966-07-18T00:00:00.000	Michael_Collins_(astronaut)	JOINS	Gemini_10
1966-07-18T00:00:00.000	John_Young_(astronaut)	JOINS	Gemini_10
1966-07-18T00:00:00.000	Gemini_10	DEPARTS	Earth
1966-07-18T00:00:00.000	Gemini_10	ARRIVES	LEO
1966-07-21T00:00:00.000	Gemini_10	DEPARTS	LEO
1966-07-21T00:00:00.000	Gemini_10	ARRIVES	Earth
1966-08-25T00:00:00.000	Apollo_CSM-011	SUPPORTS	AS-202
1966-08-25T00:00:00.000	AS-202	DEPARTS	Earth
1966-08-25T00:00:00.000	AS-202	ARRIVES	HEO
1966-08-25T00:00:00.000	AS-202	DEPARTS	HEO
1966-08-25T00:00:00.000	AS-202	ARRIVES	Earth
1966-09-12T00:00:00.000	Gemini_11_Spacecraft	SUPPORTS	Gemini_11
1966-09-12T00:00:00.000	Richard_F._Gordon_Jr.	JOINS	Gemini_11
1966-09-12T00:00:00.000	Pete_Conrad	JOINS	Gemini_11
1966-09-12T00:00:00.000	Gemini_11	DEPARTS	Earth
1966-09-12T00:00:00.000	Gemini_11	ARRIVES	LEO
1966-09-15T00:00:00.000	Gemini_11	DEPARTS	LEO
1966-09-15T00:00:00.000	Gemini_11	ARRIVES	Earth
1966-11-11T00:00:00.000	Gemini_12_Spacecraft	SUPPORTS	Gemini_12
1966-11-11T00:00:00.000	Jim_Lovell	JOINS	Gemini_12
1966-11-11T00:00:00.000	Buzz_Aldrin	JOINS	Gemini_12
1966-11-11T00:00:00.000	Gemini_12	DEPARTS	Earth
1966-11-11T00:00:00.000	Gemini_12	ARRIVES	LEO
1966-11-15T00:00:00.000	Gemini_12	DEPARTS	LEO
1966-11-15T00:00:00.000	Gemini_12	ARRIVES	Earth
1966-11-28T00:00:00.000	Soyuz 7K-OK-2	SUPPORTS	Kosmos_133
1966-11-28T00:00:00.000	Kosmos_133	DEPARTS	Earth
1966-11-28T00:00:00.000	Kosmos_133	ARRIVES	LEO
1966-11-30T00:00:00.000	Kosmos_133	DEPARTS	LEO
1966-11-30T00:00:00.000	Kosmos_133	ARRIVES	Sub_Orbital
1966-11-30T00:00:00.000	Kosmos_133	ENDS	
1967-02-07T00:00:00.000	Soyuz 7K-OK-K140	SUPPORTS	Kosmos_140
1967-02-07T00:00:00.000	Kosmos_140	DEPARTS	Earth
1967-02-07T00:00:00.000	Kosmos_140	ARRIVES	LEO
1967-02-09T00:00:00.000	Kosmos_140	DEPARTS	LEO
1967-02-09T00:00:00.000	Kosmos_140	ARRIVES	Earth
1967-03-10T00:00:00.000	7K-L1 K146	SUPPORTS	Kosmos_146
1967-03-10T00:00:00.000	Kosmos_146	DEPARTS	Earth
1967-03-10T00:00:00.000	Kosmos_146	ARRIVES	HEO
1967-03-10T00:00:00.000	Kosmos_146	ENDS	
1967-04-08T00:00:00.000	7K-L1 K154	SUPPORTS	Kosmos_154
1967-04-08T00:00:00.000	Kosmos_154	DEPARTS	Earth
1967-04-08T00:00:00.000	Kosmos_154	ARRIVES	LEO
1967-04-10T00:00:00.000	Kosmos_154	DEPARTS	LEO
1967-04-10T00:00:00.000	Kosmos_154	ARRIVES	Earth
1967-04-23T00:00:00.000	Soyuz_1_Spacecraft	SUPPORTS	Soyuz_1
1967-04-23T00:00:00.000	Vladimir_Komarov	JOINS	Soyuz_1
1967-04-23T00:00:00.000	Soyuz_1	DEPARTS	Earth
1967-04-23T00:00:00.000	Soyuz_1	ARRIVES	LEO
1967-04-24T00:00:00.000	Soyuz_1	DEPARTS	LEO
1967-04-24T00:00:00.000	Soyuz_1	ARRIVES	Earth
1967-10-27T00:00:00.000	Soyuz 7K-OK(A)	SUPPORTS	Kosmos_186
1967-10-27T00:00:00.000	Kosmos_186	DEPARTS	Earth
1967-10-27T00:00:00.000	Kosmos_186	ARRIVES	LEO
1967-10-30T00:00:00.000	Soyuz 7K-OK(P)	SUPPORTS	Kosmos_188
1967-10-30T00:00:00.000	Kosmos_188	DEPARTS	Earth
1967-10-30T00:00:00.000	Kosmos_188	ARRIVES	LEO
1967-10-30T00:00:00.000	Soyuz 7K-OK(P)	SUPPORTS	Kosmos_186
1967-10-30T00:00:00.000		BREAK	
1967-10-30T00:00:00.000	Soyuz 7K-OK(P)	SUPPORTS	Kosmos_188
1967-10-31T00:00:00.000	Kosmos_186	DEPARTS	LEO
1967-10-31T00:00:00.000	Kosmos_186	ARRIVES	Earth
1967-11-02T00:00:00.000	Kosmos_188	DEPARTS	LEO
1967-11-02T00:00:00.000	Kosmos_188	ARRIVES	Earth
1967-11-09T00:00:00.000	Apollo_CSM-017	SUPPORTS	Apollo_4
1967-11-09T00:00:00.000	Apollo_4	DEPARTS	Earth
1967-11-09T00:00:00.000	Apollo_4	ARRIVES	HEO
1967-11-09T00:00:00.000	Apollo_4	DEPARTS	HEO
1967-11-09T00:00:00.000	Apollo_4	ARRIVES	Earth
1968-01-22T00:00:00.000	Apollo_LM-1	SUPPORTS	Apollo_5
1968-01-22T00:00:00.000	Apollo_5	DEPARTS	Earth
1968-01-22T00:00:00.000	Apollo_5	ARRIVES	LEO
